Citation Program Area,Cite Id,Reference Number,Short Description,Long Description,Frequency
Drugs,1957,21 CFR 211.180(e)(2),Review of problem drugs,"The procedures for the annual quality standards record evaluation are deficient in that they do not  address a review of [complaint] [recall] [returned drug product] [salvaged drug product] [investigation] records for each drug product.  Specifically, ***",1
Drugs,1976,21 CFR 211.182,Specific information required in individual logs,"Individual equipment logs do not show [time] [date] [product] [lot number of each batch processed].  Specifically, ***",1
Drugs,1979,21 CFR 211.182,Chronological Order of Equipment Log Entries,"The entries in the equipment cleaning and use logs are not in chronological order.  Specifically, ***",1
Drugs,2014,21 CFR 211.188(b)(2),Identification of Equipment and Lines,"The batch production and control records are deficient in that they do not  include the identity of major [equipment] [lines] used.  Specifically, ***",1
Drugs,2015,21 CFR 211.188(b)(3),Identification of Components and In-Process Materials,"The batch production and control records are deficient in that they do not include specific identification of each [batch of component] [in-process material] used.  Specifically, ***",1
Drugs,2016,21 CFR 211.188(b)(4),Weights and Measures of Components Used,"The batch production and control records are deficient in that they do not  include [weights] [measures] of components used in the process.  Specifically, ***",1
Drugs,2018,21 CFR 211.188(b)(6),Documentation of Packaging and Labeling Area Inspections,"The batch production and control records are deficient in that they do not  include documentation of the inspection of the [packaging] [labeling] area before and after use.  Specifically, ***",1
Drugs,2019,21 CFR 211.188(b)(7),Documentation of Actual Yield and Theoretical Yield,"The batch production and control records are deficient in that they do not  include a statement of the [actual yield] [percentage of theoretical yield].  Specifically, ***",1
Drugs,2086,21 CFR 211.208,Salvaging and return to marketplace,"Drug products that have been subjected to improper storage conditions  were salvaged and returned to the marketplace without further evidence or inspection.  Specifically, ***  ",1
Drugs,2090,21 CFR 211.208,Records for salvaged drug products,"Records for salvaged drug products do not  include [name] [lot number] [disposition].  Specifically, ***",1
Drugs,2198,21 CFR 211.186(b)(3),Component Name and Code,"The master production and control records are deficient in that they do not include a complete list of components designated by [name] [code] sufficiently specific to indicate any special characteristic.  Specifically, ***",1
Drugs,2203,21 CFR 211.186(b)(7),Theoretical Yield and Percentages,"The master production and control records are deficient in that they do not include a statement of theoretical yield and [minimum] [maximum] [yield percentages].  Specifically, ***",1
Drugs,2400,21 CFR 211.194(a)(3),Statement of Sample Weights and Measures,"Laboratory records are deficient in that they do not include a statement of the [weight] [measure] of the sample used for testing.  Specifically, ***",1
Drugs,2402,21 CFR 211.194(a)(5),Testing Calculations,"Laboratory records are deficient in that they do not include all calculations performed during testing.  Specifically, ***",1
Drugs,2406,21 CFR 211.194(a)(8),Identification of Person Performing Review of Lab Records,"Laboratory records are deficient in that they do not include the [initials] [signature] of the second person reviewing the record for accuracy.  Specifically, ***",1
Drugs,2572,21 CFR 211.198(b),Complaint File Location,"Complaint procedures are deficient in that written complaint files are not maintained at the manufacturing site nor were they readily available from their off-site location.  Specifically, ***",1
Drugs,2619,21 CFR 211.198(b)(2),Complaint Investigation/Follow-Up Findings,"Complaint records are deficient in that they do not include the findings of the [investigation] [follow-up].  Specifically, ***",1
Drugs,3548,21 CFR 211.46(c),Air filtration system lacking in production area,"The production area air supply lacks an appropriate air filtration system.  Specifically, ***",1
Drugs,3553,21 CFR 211.48(a),Plumbing System Defects,"The plumbing system contains defects that could contribute to the  contamination of drug products.  Specifically, ***",1
Drugs,3555,21 CFR 211.48(b),"Drains--Size, Back-siphonage Prevention","Drains are not [of adequate size] [provided with an air break or other mechanical device to prevent back-siphonage where connected directly with a sewer].  Specifically, ***",1
Drugs,3558,21 CFR 211.52,Washing and toilet facilities not provided and accessible,"Washing and toilet facilities are not [provided] [easily accessible to working areas].  Specifically, ***",1
Drugs,3566,21 CFR 211.84(c)(4),Composite sample top/middle/bottom,"Sampling procedures are deficient regarding compositing for testing of samples collected from the top, middle, and bottom of the component container.  Specifically, ***",1
Drugs,3569,21 CFR 211.89,Quarantine of Rejected Components et. al.,"Rejected [components] [drug product containers] [closures] are not controlled under a quarantine system designed to prevent their use in manufacturing or processing operations for which they are unsuitable.  Specifically, ***",1
Drugs,3573,21 CFR 211.101(b),Measured components for manufacturing,"Components for drug product manufacturing are not [weighed] [measured] [subdivided as appropriate].  Specifically, ***",1
Drugs,3578,21 CFR 211.101(c)(1),Q.C. release check by second individual,"Component containers dispensed to manufacturing are deficiently examined by a second person in that the component is not released by the quality control unit.  Specifically, ***",1
Drugs,3581,21 CFR 211.101(d),Verification of component addition,"Each component is not added to the batch by one person and verified by a second person..  Specifically, ***",1
Drugs,3586,21 CFR 211.110(a)(1),Tablet or capsule weight variation,"The in-process control procedures were deficient in that it did not include an examination of [tablet] [capsule] weight variation.  Specifically, ***",1
Drugs,3605,21 CFR 211.160(b)(1),Specification description of sample/testing,"The specifications for components, drug product containers or closures and labeling are deficient in that they do not include a description of the [sampling plan] [testing procedures].  Specifically, ***",1
Drugs,3608,21 CFR 211.160(b)(2),Sampling/testing of in-process materials,"The specifications for in-process materials are deficient in that they do not include a description of the [sampling plan] [testing procedures] for in-process materials.  Specifically, ***",1
Drugs,3612,21 CFR 211.160(b)(3),Sampling/testing of drug products,"The specifications for drug products are deficient in that they do not include a description of the [sampling plan] [testing procedures] for drug products. Specifically, ***",1
Drugs,3630,21 CFR 211.170(b),Drug product reserve containers,"Drug product reserve samples are not stored in [the same immediate container-closure system as the marketed product] [an immediate container-closure system that has essentially the same characteristics as the marketed product].  Specifically, ***",1
Drugs,3631,21 CFR 211.170(b),Investigation of reserve sample deterioration,"Evidence of reserve drug product sample deterioration was not  [investigated] [recorded and maintained with other stability data].  Specifically, ***
",1
Drugs,3633,21 CFR 211.170(b)(1),Reserve sample retention time,"The retention period for drug product reserve samples (except those described in 211.170(b)(2) and (3)) is deficient in that they are not retained for one year after the expiration date of the drug product.  Specifically, ***",1
Drugs,4302,21 CFR 211.56(b),Written sanitation procedures not followed,"Written procedures for sanitation are not followed.  Specifically, ***",1
Drugs,4317,21 CFR 211.84(d)(3),"Certificates of Testing (Containers, Closures)","Certificates of testing of [containers] [closures] are accepted in lieu of testing without [a visual identification] [establishing the reliability of the supplier's test results through appropriate validation of the test results at appropriate intervals].  Specifically, ***",1
Drugs,4322,21 CFR 211.101(d),Component release checked by 2nd person,"Each container of component dispensed to manufacturing is not examined by a second person to assure that [the component was released by the quality control unit] [the weight or measure is correct as stated in the batch records] [the containers are properly identified].  Specifically, ***",1
Drugs,4323,21 CFR 211.115(a),Reprocessing procedures lack steps to be taken,"Reprocessing procedures lack the steps to be taken to insure that reprocessed batches will conform with all established standards, specifications, and characteristics.  Specifically, ***",1
Drugs,4330,21 CFR 211.130(e),Packaging line inspection documentation,"Results of inspection of packaging and labeling facilities are not documented in the batch production records.  Specifically, ***",1
Drugs,4347,21 CFR 211.160(b)(2),In process materials - conformance to written specs,"Laboratory controls do not include a determination of conformance to written  specifications  for in-process materials.  Specifically, ***",1
Drugs,4356,21 CFR 211.166(b),Tentative expiration date ,"Where data from accelerated studies was used to project a tentative expiration date beyond a date supported by actual shelf life studies, there were no [stability studies] [drug product testing at appropriate intervals] conducted until the tentative expiration date was verified or the appropriate expiration date determined.  Specifically, ***",1
Drugs,4364,21 CFR 211.176,Failing to test for penicillin cross-contamination,"Non-penicillin drug products were not tested for the presence of penicillin, when a reasonable possibility existed that a non-penicillin drug product has been exposed to a cross-contamination with penicillin.  Specifically, ***",1
Drugs,4368,21 CFR 211.188(b)(12),Investigations made into any unexplained discrepancy,"Batch production and control records do not include the results of any investigation made into any unexplained discrepancy, whether or not the batch of drug product had already been distributed.  Specifically, ***",1
Drugs,4376,21 CFR 211.188(b)(4),Weights and measures of components used,"Batch production and control records do not include the weights and measures of components used in the course of processing each batch of drug product produced.  Specifically, ***",1
Drugs,4377,21 CFR 211.188(b)(3),Identification of each  component or in-process material,"Batch production and control records do not include the specific identification of each batch of [component] [in-process material] used for each batch of drug product produced.  Specifically, ***",1
Drugs,4378,21 CFR 211.188(b)(2),Identity of major equipment and lines used,"Batch production and control records do not include the identity of individual major [equipment] [lines] used for each batch of drug product produced.  Specifically, ***",1
Drugs,4379,21 CFR 211.188(b)(1),Dates not included for each significant step,"Batch production and control records do not include dates of each significant step in the [manufacture] [processing] [packing] [holding] of the batch for each batch of drug product produced.  Specifically, ***",1
Drugs,4388,21 CFR 211.198(a),Complaints reviewed by Quality Control Unit,"Written procedures describing the handling of complaints do not include provisions for [review by the quality control unit of any complaint involving the possible failure of a drug product to meet any of its specifications] [a determination as to the need for an investigation of any unexplained discrepancy] [explaining the reasons for the failure of the batch or any of its components to meet specifications].  Specifically, ***",1
Drugs,4409,21 CFR 211.194(a)(4),Data secured in course of each test,"Laboratory records do not include a complete record of all data secured in the course of each test, including all [graphs] [charts] [spectra] from laboratory instrumentation, properly identified to show the [specific component] [drug product container] [closure] [in-process material] [lot tested] [drug product tested].  Specifically, ***",1
Drugs,6709,21 CFR 310.305(c)(2),"Investigation of serious, unexpected events","Serious, unexpected adverse drug experiences have not been [promptly] investigated. Specifically, ***",1
Drugs,6731,21 CFR 314.80(c),[NDA prod] Fail to submit report in apprvd electronic format,"You did not submit adverse drug experience information in electronic format.  Specifically, ***",1
Drugs,6830,21 CFR 314.80(c)(2),Interval,"Periodic reports of non-alert adverse drug experiences have not been submitted [quarterly for an application which was approved less than three years ago] [yearly for an application which was approved three or more years ago].  Specifically, ***",1
Drugs,6833,21 CFR 314.80(c)(2)(ii)(A),Incomplete periodic safety report,"You failed to submit a periodic report containing [a narrative summary and analysis of the ADE information for the reporting interval in the report] [an analysis of the post marketing 15-day Alert reports submitted during the reporting interval] [a history of actions taken since the last report because of adverse drug experiences] [an index with a line listing of your patient identification code and adverse reaction term(s) for all ICSRs you submitted for the reporting interval].  Specifically, ***",1
Drugs,8935,FDCA 760(b)(1),Failure of responsible person to report AE (non-RX Drug)  ,"Serious adverse event(s) for a non-prescription drug used in the United States has not been reported to the Secretary of HHS.  Specifically, ***",1
Drugs,8936,FDCA 760(b)(1),No label copy submitted with AE report (non-Rx drug) ,"Copies of labels from on or within the retail package of a non-prescription drug  did not accompany serious drug event report. Specifically, ***",1
Drugs,17753,21 CFR 212.30(c),Contact surfaces,"Your equipment is not [constructed] [maintained] so that surfaces that contact [components] [in-process materials] [PET drugs] are not reactive, additive, or absorptive so as to alter the quality of the PET drugs.  Specifically,***",1
Drugs,17759,21 CFR 212.20(c),Adverse effects of changes made,"You did not demonstrate that any change does not adversely affect the [identity] [strength] [quality] [purity] of your PET drug. Specifically,***",1
Drugs,17775,21 CFR 212.40(c),Each lot identified and tested,"Each lot of [components] [containers] [closures] is not [uniquely identified] [tested or examined to determine compliance with your specifications].  Specifically,***",1
Drugs,17784,21 CFR 212.40(c)(2),Rep.sample - containers/closures,"You did not examine a representative sample of each lot of [containers] [closures] for conformity to written specifications.  Specifically,***",1
Drugs,17814,21 CFR 212.50(b),Master Production and Control Records,"You did not have master production and control records that document all steps in the PET drug production process.  Specifically,***",1
Drugs,17821,21 CFR 212.50(b)(6),Action limits on radiochemical yield,"Your master production and control records did not include a statement of action limits on radiochemical yield.  Specifically,***",1
Drugs,17822,21 CFR 212.50(b)(7),"Complete instructions, procedures, specs","Your master production and control records did not include complete [production and control instructions] [sampling and testing procedures] [specifications] [special notations] [precautions to be followed].  Specifically,***",1
Drugs,17832,21 CFR 212.50(c)(4),Each major production step,"Your batch production record does not include each major production step (obtained from the approved appropriate master production and control record).  Specifically, ***",1
Drugs,17841,21 CFR 212.50(d),Production area & equipment checks,"Your [production area] [equipment in the production area] was not checked to ensure [cleanliness] [suitability] immediately before use.  Specifically,***",1
Drugs,17857,21 CFR 212.60(f),Lab written procedures,"Laboratory written procedures are not [established] [followed] to ensure that the lab equipment is routinely [calibrated] [inspected] [checked] [maintained].  Specifically,***",1
Drugs,17859,21 CFR 212.60(g),Test records complete (general),"Each laboratory used to perform tests related to the production of a PET drug did not keep complete records of all tests performed to ensure compliance with established specifications and standards, including examinations and assays. Specifically,***",1
Drugs,17877,21 CFR 212.70(c),Conform to specs prior to release,"You did not conduct an appropriate laboratory determination to ensure that each batch of a PET drug product conforms to specifications before final release.  Specifically, ***",1
Drugs,17883,21 CFR 212.70(d)(3),Final dated signature,"You did not [establish] [follow] procedures to ensure that each batch or sub-batch of a PET drug was not given final release until a designated qualified individual authorized the final release by dated signature.  Specifically, ***",1
Drugs,17886,21 CFR 212.70(e),When 30 hour rule is exceeded,"A sample for sterility testing was held longer than 30 hours, but you did not demonstrate that the longer period did not adversely affect the sample and that the test results obtained were equivalent to test results that would have been obtained if the test had been started within the 30 hour period.  Specifically,***",1
Drugs,17896,21 CFR 212.71(a),Rejection of nonconforming product,"You did not reject the batch of a PET drug product that did not conform to specifications.  Specifically,***",1
Drugs,17904,21 CFR 212.80(d),Labeling and product mix-ups,"Labeling and packaging operations for PET drug products were not controlled to prevent labeling and product mix-ups.  Specifically,***",1
Drugs,17913,21 CFR 212.100(a),Written complaint procedures,"You have not [developed] [followed] written procedures for the receipt and handling of all complaints concerning the quality or purity of, or possible adverse reactions to, a PET drug product.  Specifically,***",1
Drugs,17941,21 CFR 212.71(b),Documentation of Non-Conforming Product Investigation,"You did not document [the results of the investigation] [what happened to the rejected PET drug product] for a PET drug product that did not meet specifications.  Specifically, ***",1
Drugs,17993,21 CFR 361.1(f)(1),"Packaging, labeling - Rx only","The label of a radioactive drug prepared, packaged, distributed, and primarily intended for use in the RDRC research project did not bear the statement ""Rx only"". Specifically, ***",1
Drugs,17994,21 CFR 361.1(f)(2),Label - For research use,"The label of a radioactive drug prepared, packaged, distributed, and primarily intended for use in the RDRC research project did not bear a statement that the drug is to be administered in compliance with radioactive drug research use.  Specifically, ***",1
Drugs,18003,21 CFR 361.1(f)(11),"Label - Parenteral drug, sterile","The label of a radioactive parenteral drug prepared, packaged, distributed, and primarily intended for use in the RDRC research project did not bear a statement as to whether the contents are sterile. Specifically, ***",1
Drugs,18004,21 CFR 361.1(f)(12),"Label - Inactive ingredient, name","The label of a radioactive drug prepared, packaged, distributed, and primarily intended for use in the RDRC research project and intended for other than oral use did not bear the name of an inactive ingredient.  Specifically, ***",1
Drugs,18025,21 CFR 314.80(c)(2)(ii)(B),Late submission of an ICSR,"You failed to submit an ICSR for the reporting period [within 30 days of the close of the quarter] [within 60 days of the anniversary date of the approval of the application].  Specifically, ***",1
Drugs,18026,21 CFR 314.80(f)(2),Incomplete ADE information on ICSR,"You submitted an ICSR reporting adverse drug experience information that failed to include the [outcome attributed to adverse drug experience] [date of adverse drug experience] [date of ICSR submission] [description of adverse drug experience including a concise medical narrative] [adverse drug experience term(s)] [description of relevant tests including dates and laboratory data] [other relevant patient history including preexisting medical conditions].  Specifically, ***",1
Drugs,18933,FDCA 501(a)(2)(A),"Vermin, production area","Vermin was observed in your production area.  Specifically, ***",1
Drugs,18934,FDCA 501(a)(2)(A),"Vermin, adjacent area","Vermin was observed in an area immediately adjacent to your production area.  Specifically, ***",1
Drugs,18940,FDCA 501(a)(2)(A),"Inadequate control, construction adjacent to drug production","Your firm produced drugs while construction was underway in an adjacent area without adequate controls to prevent contamination of the production environment and product.  Specifically, ***",1
Drugs,18943,FDCA 501(a)(2)(A),"Personnel in aseptic processing, non-sterile gloves","Personnel engaged in aseptic processing were observed wearing non-sterile gloves.  Specifically, ***",1
Drugs,18946,FDCA 501(a)(2)(A),Sterile product air exposure,"[Inadequately protected] [Un-protected] product intended to be sterile was exposed to lower than ISO 5 classified aseptic processing area quality air.  Specifically, ***",1
Drugs,18950,FDCA 501(a)(2)(A),Personnel contact on container or closure,"Personnel [used a non-sterile tool on] [manually contacted the inner surface of] the container or closure.  Specifically, ***",1
Drugs,18957,FDCA 501(a)(2)(A),"Dust-collecting overhangs, surrounding area of ISO 5","The [ISO 5 classified aseptic processing areas] [segregated production areas surrounding the ISO 5 classified aseptic processing area] contained dust-collecting overhangs without adequate and frequent cleaning.  Specifically, ***",1
Drugs,18959,FDCA 501(a)(2)(A),"Location, ISO 5 classified area","The ISO 5 classified aseptic processing area was located within a non-classified room (segregated production area).  Specifically, ***",1
Drugs,18962,FDCA 501(a)(2)(A),"Lack of HEPA filter, sterile product area","You did not have a HEPA filter over the area to which sterile product was exposed.  Specifically, ***",1
Drugs,18964,FDCA 501(a)(2)(A),"Unsealed HEPA filter, perimeter","HEPA filters were not sealed around each perimeter to the support frame.  Specifically, ***",1
Drugs,18968,FDCA 501(a)(2)(A),"Inadequate filter, final product sterilization","The filter intended to render final product sterile [was not adequate to accomplish sterilization] [was not pharmaceutical grade].  Specifically, ***",1
Drugs,21352,FDCA 505-1(e)(2)(A),Failure to comply with REMS Medication Guide,"An application holder did not dispense the Medication Guide, as required by your approved REMS Medication Guide.  Specifically, ***",1
Drugs,21355,FDCA 505-1(f)(3)(B),Failure to comply with REMS Elements to Assure Safe Use (ETASU) B,"An application holder did not [ensure pharmacies that dispense the drug are specially certified] [ensure mechanisms are in place that allow pharmacies the ability to complete the certification process] [maintain a validated, secure database of certified pharmacies] [identify and address non-compliant certified pharmacies], as required by your approved REMS Element to Assure Safe Use (ETASU) B.  Specifically, ***",1
Drugs,21360,FDCA 505-1(f)(4),Failure to comply with REMS Implementation System,"An application holder did not [ensure wholesalers / distributors who distribute the drug are authorized to distribute the drug] [comply with the audit plan and schedule described in the REMS] [identify and address non-compliant authorized wholesalers / distributors] [maintain a Support / Call Center or a REMS Program website] [maintain the drug distribution and dispensing records to ensure restricted distribution], as required by your approved REMS Implementation System.  Specifically, ***",1
Drugs,21422,FDCA 503B(b)(2)(A),"Outsourcing facility, compounded drug report follow up","Your outsourcing facility did not submit a report to FDA identifying the drugs compounded during the previous six month period.  Specifically, ***",1
